Date,PH,AMMONIA,TEMP,DO,TURBIDITY
01-02-2022 08:00,5.7,0,17.69,11.6,86.1
01-02-2022 08:20,5.1,0,19.42,10.5,71.8
01-02-2022 08:40,5.5,0,18.6,10.3,75.9
01-02-2022 09:00,5.2,0.1,19.1,9.4,70.3
01-02-2022 09:20,5.2,0.1,18.57,8.8,66.9
01-02-2022 09:40,5,0,16.48,7.3,13
01-02-2022 10:00,5.3,0,14.33,11.5,47.2
01-02-2022 10:20,5.9,0,15.89,9.6,18
01-02-2022 10:40,5.8,0.1,14.95,10.9,63.7
01-02-2022 11:00,5,0.1,18.17,6,41.2
01-02-2022 11:20,5.4,0,15.3,9.5,36
01-02-2022 11:40,5.4,0,19.93,7.6,12.6
01-02-2022 12:00,5,0,14.36,6.8,11.7
01-02-2022 12:20,5.8,0.1,14.74,6.1,82
01-02-2022 12:40,6,0,15.93,7.9,42.3
01-02-2022 13:00,5,0.1,18.94,6.8,51.9
01-02-2022 13:20,5.6,0.1,18.23,12,9.7
01-02-2022 13:40,5.5,0,19.15,10.3,66.8
01-02-2022 14:00,5.3,0.1,18.65,8.8,46.5
01-02-2022 14:20,5.4,0,17.66,6.7,35.8
01-02-2022 14:40,5,0,18.98,11.2,76.9
01-02-2022 15:00,5.4,0,19.46,11.2,85.5
01-02-2022 15:20,5.7,0,16.44,6.1,61.5
01-02-2022 15:40,5.8,0.1,14.14,9.3,84.3
01-02-2022 16:00,5.2,0,15.53,7.2,86.4
01-02-2022 16:20,5.3,0,15.87,11.5,9.3
01-02-2022 16:40,5.5,0.1,19.06,6.5,35.4
01-02-2022 17:00,5.1,0.1,15.03,7,82.6
01-02-2022 17:20,5.7,0.1,19.64,6.6,70.4
01-02-2022 17:40,5.7,0.1,18.27,8.8,45.2
01-02-2022 18:00,6,0.1,15.92,8.8,21.1
01-02-2022 18:20,6,0,17.78,7.4,49.7
01-02-2022 18:40,6,0.1,18.88,9.1,67.2
01-02-2022 19:00,5.3,0,16.77,7.7,78
01-02-2022 19:20,6,0.1,17.76,9.7,35.7
01-02-2022 19:40,5.9,0,19.82,6,69.7
01-02-2022 20:00,5.4,0.1,17.18,8.9,64.5
01-02-2022 20:20,5,0.1,14.49,9.3,10.4
01-02-2022 20:40,5.1,0,15.41,10.8,14.7
01-02-2022 21:00,5.4,0,14.27,8,13.3
01-02-2022 21:20,5.2,0,18.21,8.9,17.2
01-02-2022 21:40,5.2,0.1,16.8,9.6,9.4
01-02-2022 22:00,5.3,0,18.71,11.6,7.1
01-02-2022 22:20,5.3,0.1,18.86,8.9,33.8
01-02-2022 22:40,5.4,0,15.23,10,4.9
01-02-2022 23:00,5.6,0,19.03,9.9,29.5
01-02-2022 23:20,5.2,0.1,15.89,8.8,65.8
01-02-2022 23:40,5.7,0.1,17.03,12,20.2
02-02-2022 00:00,5.9,0,19.66,10.4,76.8
02-02-2022 00:20,5.6,0,16.17,8.3,5.2
02-02-2022 00:40,5.8,0.1,16.24,6.3,3.8
02-02-2022 01:00,5.4,0.1,14.33,6.4,17.1
02-02-2022 01:20,5.3,0,16.03,10.1,64.1
02-02-2022 01:40,5,0.1,16.18,11.2,62.4
02-02-2022 02:00,5.5,0,14.85,6.1,58.2
02-02-2022 02:20,5.5,0.1,17.66,7.2,61.6
02-02-2022 02:40,5.5,0,15.42,9.7,28.9
02-02-2022 03:00,5.8,0.1,14.52,9.5,4.5
02-02-2022 03:20,5,0,15.92,12,12.3
